month,is_nowcast,asof,hiring_panel,hiring_up,hiring_down,hiring_diffusion,hiring_diffusion_first_print,open_roles,open_roles_prev,roles_mom_pct,mfg_roles,sw_roles,atoms_bits_ratio,factory_flags,capital_diffusion_covered,capital_panel,capital_events_3m,capital_rate_per100_3m,contracts_diffusion_covered,contracts_panel,contracts_events_3m,contracts_rate_per100_3m,milestones_diffusion,milestone_events,footprint_diffusion,footprint_events,pulse_hiring,pulse_v0_composite,components_live
2026-04,False,2026-04-30,50,31,14,67.0,67.0,2267,2077,9.1,490,433,1.13,6,42.7,137,39,3.84,56.8,132,38,3.74,,0,,0,67.0,57.1,hiring+capital+contracts
2026-05,False,2026-05-31,50,22,6,66.0,66.0,2499,2279,9.7,539,437,1.23,6,41.6,143,37,3.64,54.9,134,38,3.74,,0,,0,66.0,55.8,hiring+capital+contracts
2026-06,False,2026-06-30,51,24,15,58.8,58.8,2624,2506,4.7,583,449,1.3,3,40.3,154,33,3.25,54.3,141,38,3.74,50.0,1,,0,58.8,51.7,hiring+capital+contracts+milestones
2026-07,False,2026-07-31,52,24,13,60.6,60.6,2730,2628,3.9,648,449,1.44,3,41.6,160,37,3.64,49.3,141,25,2.46,,0,,0,60.6,51.9,hiring+capital+contracts
2026-08,False,2026-08-31,52,24,14,59.6,59.6,2998,2730,9.8,702,490,1.43,9,45.1,175,47,4.63,48.6,141,24,2.36,,0,,0,59.6,52.3,hiring+capital+contracts
2026-09,True,2026-09-26,53,26,12,63.2,,3328,3018,10.3,818,521,1.57,7,45.4,186,48,4.72,42.3,142,17,1.67,,0,,0,63.2,52.1,hiring+capital+contracts
